Men,Women,Total,Tendency
9,35,44,women
19,10,29,NA
7,12,19,NA
9,38,47,women
17,19,36,NA
3,0,3,NA
0,1,1,NA
1163,1857,3020,women
342,894,1236,women
22,113,135,women
60,64,124,NA
3,4,7,NA
475,66,541,men
1,531,532,women
1,1,2,NA
51,31,82,men
11,27,38,women
100,197,297,women
12,72,84,women
105,79,184,men
34,29,63,NA
33,16,49,men
54,63,117,NA
25,46,71,women
571,1122,1693,women
243,712,955,women
15,27,42,women
91,178,269,women
0,1,1,NA
0,15,15,NA
0,8,8,NA
1,118,119,women
1,438,439,women
7,9,16,NA
1,3,4,NA
50,25,75,men
323,423,746,women
90,333,423,women
1,5,6,NA
1,6,7,NA
9,14,23,NA
2,1,3,NA
1850,3163,5013,women
13,13,26,NA
43,38,81,NA
17,15,32,NA
14,1,15,NA
68,69,137,NA
7,94,101,women
8,3,11,NA
21,61,82,women
42,65,107,women
1,3,4,NA
2,7,9,NA
0,1,1,NA
2,4,6,NA
11,3,14,NA
2,1,3,NA
8,18,26,NA
1,0,1,NA
566,1452,2018,women
0,1,1,NA
1,0,1,NA
0,12,12,NA
0,1,1,NA
0,1,1,NA
0,1,1,NA
2,0,2,NA
0,3,3,NA
0,2,2,NA
0,1,1,NA
1,0,1,NA
0,1,1,NA
0,4,4,NA
0,1,1,NA
2,0,2,NA
0,1,1,NA
0,1,1,NA
0,1,1,NA
0,1,1,NA
9,12,21,NA
2,2,4,NA
1,0,1,NA
1,0,1,NA
22,39,61,women
0,1,1,NA
2,1,3,NA
9,8,17,NA
3,6,9,NA
6,4,10,NA
9,16,25,NA
159,448,607,women
0,1,1,NA
3,1,4,NA
23,44,67,women
9,8,17,NA
38,92,130,women
8,21,29,NA
84,105,189,women
0,1,1,NA
0,1,1,NA
17,49,66,women
17,50,67,women
0,1,1,NA
2,3,5,NA
67,108,175,women
7,17,24,NA
3,26,29,NA
12,46,58,women
1,0,1,NA
1,0,1,NA
